year,season,fishery,index
1979,11,16,1.86281
1980,11,16,1.31391
1981,11,16,1.2559
1982,11,16,1.50646
1983,11,16,0.922278
1984,11,16,1.32673
1985,11,16,0.877509
1986,11,16,0.855618
1987,11,16,0.835362
1988,11,16,0.736157
1989,11,16,1.65752
1990,11,16,1.13159
1991,11,16,1.02708
1992,11,16,0.558306
1993,11,16,0.81207
1994,11,16,1.12053
1995,11,16,1.11373
1996,11,16,1.1907
1997,11,16,1.31626
1998,11,16,1.99334
1999,11,16,1.18608
2000,11,16,0.788006
2001,11,16,0.727835
2002,11,16,0.803887
2003,11,16,1.3191
2004,11,16,1.26325
2005,11,16,1.04284
2006,11,16,0.740614
2007,11,16,0.829133
2008,11,16,1.047
2009,11,16,0.645173
2010,11,16,0.790723
2011,11,16,0.722675
2012,11,16,0.69595
2013,11,16,0.717588
2014,11,16,0.790042
2015,11,16,0.78514
2016,11,16,0.687733
2017,11,16,0.591417
2018,11,16,0.724244
2019,11,16,0.794833
2020,11,16,0.742562
2021,11,16,1.23811
2022,11,16,0.912191
